05.01.2021 12:32:22.641 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalScheduledAnnotationProcessor'
05.01.2021 12:32:22.641 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.scheduling.annotation.SchedulingConfiguration'
05.01.2021 12:32:22.645 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
05.01.2021 12:32:22.645 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
05.01.2021 12:32:22.646 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'dataSourceInitializedPublisher'
05.01.2021 12:32:22.649 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
05.01.2021 12:32:22.651 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
05.01.2021 12:32:22.651 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
05.01.2021 12:32:22.683 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'transactionAttributeSource'
05.01.2021 12:32:22.691 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'transactionInterceptor'
05.01.2021 12:32:22.691 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'transactionInterceptor' via factory method to bean named 'transactionAttributeSource'
05.01.2021 12:32:22.693 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionAttributeSource'
05.01.2021 12:32:22.693 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.transaction.config.internalTransactionAdvisor' via factory method to bean named 'transactionInterceptor'
05.01.2021 12:32:22.723 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'messageSource'
05.01.2021 12:32:22.723 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.MessageSourceAutoConfiguration'
05.01.2021 12:32:22.733 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'messageSourceProperties'
05.01.2021 12:32:22.733 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
05.01.2021 12:32:22.753 [restartedMain] DEBUG  o.s.b.f.s.DefaultListableBeanFactory - Autowiring by type from bean name 'messageSource' via factory method to bean named 'messageSourceProperties'
